training,hidden_size,learning_rate,layers,epochs,batch_size,train_loss,test_mse,test_mae,elapsed_time
logs\train_loss_H32_L1_LR0.001_BS128_S7_PAT10.csv,32,0.001,1,405,128,2.5573985315349006,9.12493196540592,2.3656920999982587,58.03
logs\train_loss_H32_L1_LR0.001_BS64_S7_PAT10.csv,32,0.001,1,548,64,1.1559597677237368,13.344558609854042,2.7965280831717463,142.88
logs\train_loss_H32_L1_LR0.001_BS256_S7_PAT10.csv,32,0.001,1,640,256,1.8378599801782056,12.23072949298545,2.71613791639266,58.75
logs\train_loss_H32_L1_LR0.001_BS512_S7_PAT10.csv,32,0.001,1,780,512,2.4524107897771548,11.288112900293124,2.587851389446487,47.72
logs\train_loss_H32_L1_LR0.001_BS2048_S7_PAT10.csv,32,0.001,1,1198,2048,3.729675806123917,8.61064755077433,2.2974972717198607,56.61
logs\train_loss_H32_L1_LR0.001_BS4096_S7_PAT10.csv,32,0.001,1,1793,4096,4.22899026217526,7.351072513609458,2.145679292021549,82.0
logs\train_loss_H32_L1_LR0.003_BS1024_S7_PAT10.csv,32,0.003,1,649,1024,2.528013416251091,9.564376907318856,2.438374477016599,36.36
logs\train_loss_H32_L1_LR0.001_BS1024_S7_PAT10.csv,32,0.001,1,584,1024,4.497497644293798,6.802113355451439,2.0545385598279027,30.13
logs\train_loss_H32_L1_LR0.0003_BS1024_S7_PAT10.csv,32,0.0003,1,1318,1024,4.421257183127207,6.703699377209806,2.030494100488212,70.39
logs\train_loss_H32_L1_LR0.0001_BS1024_S7_PAT10.csv,32,0.0001,1,2775,1024,4.583883863213944,6.618009085815537,2.016294788510016,147.48
logs\train_loss_H16_L1_LR0.001_BS1024_S7_PAT10.csv,16,0.001,1,878,1024,4.588186668761789,6.995191989873101,2.048037478421649,45.17
logs\train_loss_H64_L1_LR0.001_BS1024_S7_PAT10.csv,64,0.001,1,890,1024,1.308368536217572,12.177437050516762,2.689494309911173,50.28
logs\train_loss_H128_L1_LR0.001_BS1024_S7_PAT10.csv,128,0.001,1,842,1024,0.1635467197143868,12.743133154645074,2.8404741319564923,57.16
logs\train_loss_H16_L2_LR0.001_BS1024_S7_PAT10.csv,16,0.001,2,1149,1024,3.3618349268665053,8.878143538977453,2.3249572177415025,65.49
logs\train_loss_H16_L1_LR0.001_BS1024_S7_PAT20.csv,16,0.001,1,2044,1024,3.7122569125972382,7.61515013971358,2.1606288201964063,106.48
